--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
280.158  000.335  000.335: require('rust-tools.server_status')
280.160  000.683  000.348: require('rust-tools.lsp')
280.396  000.235  000.235: require('rust-tools.move_item')
280.617  000.221  000.221: require('rust-tools.open_cargo_toml')
280.865  000.246  000.246: require('rust-tools.parent_module')
281.134  000.268  000.268: require('rust-tools.runnables')
281.559  000.423  000.423: require('rust-tools.ssr')
281.811  000.252  000.252: require('rust-tools.standalone')
282.060  000.247  000.247: require('rust-tools.workspace_refresh')
282.533  000.269  000.269: require('lspconfig.configs.rust_analyzer')
283.977  000.472  000.472: require('nvim-lightbulb.config')
283.983  001.288  000.815: require('nvim-lightbulb')
